钱包地址,节点类型,当前等级,membership等级,状态,付费类型,购买金额,购买TX,金库存入(45D+),金库总存入,金库计划,是否激活金库,直推大节点,直推小节点,节点收益,经纪人收益,earnings_capacity,问题标记
0x20003D92B15AFa68D9440802dB0EE762f2bc69a0,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x5dbcaf43093c8f88bcfe55a1e88629dec6018203a771b853b3d744d60f42f367,0,0,-,否,1,0,0.00,0.00,0,正常
0xbD2eDD3E7cA919d977ac1b59DF285e35C83946F0,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0xc3d563c1b8e3df011976fb2a8a3097e84c23d7d1a65497ae6f9bd12b73833c56,0,500,-,否,1,0,0.00,0.00,0,正常
0xd5d4C40449f61CFD518F80F4d9fCFe74b6Ed550C,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x86998f3383b533a42afa842110dbf52591ab8070e5cb2fc7c97fccd1f6eea26f,0,500,-,否,2,0,0.00,0.00,0,正常
0x89b4E7EF986DccA8A0499271d74c9A56c35DEd8B,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x6f800e25551ab85c8e5ea1dd639da4cc740b907072acdc0e1af6c7a0cd81b835,0,500,-,否,0,0,0.00,0.00,0,正常
0xC548e9951dc8e9B1ffd628B780576b64eE967Ec0,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0xa40d68f19bf7a7ee68f94e86cb879689d6d30640d49eabf95c7e43dc5947a944,0,500,-,否,0,0,0.00,0.00,0,正常
0x697e4feAd37a1C9105EA606d0D4e5590Df754B63,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x3bc1600c67ced646387062aa049b00b195bd8d9d4a6be70138a5046de7f6d87a,0,500,-,否,0,0,0.00,0.00,0,正常
0x155726439469578ef3E918311CbB721e67e7E4e6,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x21475eab406af9d551515a60410be54c146fddff6bf9a5b49fb340691fb4251e,0,500,-,否,0,0,0.00,0.00,0,正常
0xa1Ce411a5733512640D1cf0c145C5aAb585CeDa0,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x248ab8e73b7cbe8131b21dac8f76d39b069a92bba172a6b1d280b547213abcc9,0,500,-,否,0,0,0.00,0.00,0,正常
0x4bdE5898cA3aB977F564b54E973aeE90e361AEA9,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x6bc07cedc4d35a822e44da47f12d0e5e0bb208cfc89d303b5a40ce6a77fa894b,0,500,-,否,1,0,0.00,0.00,0,正常
0x92572c22D44817d85de27bBC3AAdaf0875dEF7c0,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x215b36b1495ff3154f712510abc8decd9e75ee26bda7e5bbaf9f58c5cc01a34f,0,500,-,否,0,0,0.00,0.00,0,正常
0xdA4Fad9b9c9c4aA6d43C3409229F9D77C325bdb7,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,2,1,0.00,0.00,0,正常
0xD208b1fe0F1a1A48c0fe0eE893ae6021606A1526,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,1,0,0.00,0.00,0,正常
0xD47f6dFfB05Dd36A40f8D8371b952D7e3a63E006,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xE736694D699e7CF7Cf371dED69EaC89B7D297Af7,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0x08d539Bb6355DB1969C6B0aBd28f6337Beefb46e,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,4,0,0.00,0.00,0,正常
0x0dE8E82E7A85e8c79ed6e517A90B0CED66D6CD31,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x0EA06c51b57786F27AD330771b59416E5350Cd6E,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x0Ec21Ca254eD05C5Cd12d7f1F10BA699aEB51747,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x0f083CDA691E32029c445998862460e4902B6d85,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x1168E96D4Be3c320917169C212fcFA6B582bD741,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x15F46735aC7590b6c6fE744E9b7f317b893c3C4C,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x1708e98DEE6E72975FC09D29B0f7D8e8eeC31E42,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x171b92a3aBE9B06Cd6784958BfE770b9315CC31e,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x1CB9A76d9e60eF915c6aAB69D8f063cD5734E806,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x1d34d6d9eE5614635a967cF2cB033753F5E73eDc,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x1e0f57bfADB091A003A4908BA970B586FfDde52a,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x209a3deEE3b00C77bF4131885A967D4b6AA01E48,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0x21b7bB430F3991deb00487da9d2A39E03A7D1d7f,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,2,0,0.00,0.00,0,正常
0x24c563381B2207f3b1390dFD1B1727baB0941026,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x26A9fbCCcE2ebcF4887C556385a55bea86ebDCDF,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xf183eE9197061D1989ACF93d84e2442cDA961af6,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0xF81120213501c8bFdCF4c82dAE40276F03745F60,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0x2fBf351D877dbBb7807164e5B122e832868E2eE7,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x3286Edb1d0E4ABc07F5E6021Cc56679fE4de446C,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
